Artist Name,Art Type,Medium,Date,Dimensions(cm),Description,Price($),Availability,ID
Eren Jaegar,Painting,Water Color,2018-02-20,60x80,Watercolor paintings are created by using water-soluble pigments on paper or other surfaces. They are known for their soft and subtle colors.,40,Y,Eren Jaegar_Painting
Armin Arlelt,Painting,Water Color,2019-06-10,70x92,Watercolor paintings are created by using water-soluble pigments on paper or other surfaces. They are known for their soft and subtle colors.,50,Y,Armin Arlelt_Painting
Mikasa Ackerman,Painting,Water Color,2019-12-15,60x81,Watercolor paintings are created by using water-soluble pigments on paper or other surfaces. They are known for their soft and subtle colors.,45,N,Mikasa Ackerman_Painting
Erwin Smith,Painting,Oil Paintings,2019-10-10,70x93,Oil paintings are one of the most popular types of painting and are known for their rich colors and textures. They are created by mixing pigments with oil; usually linseed oil.,65,Y,Erwin Smith_Painting
Sasha Braus,Painting,Oil Paintings,2018-06-10,60x82,Oil paintings are one of the most popular types of painting and are known for their rich colors and textures. They are created by mixing pigments with oil; usually linseed oil.,80,Y,Sasha Braus_Painting
Damian Desmond, Drawing,Pencil and Marker,2019-10-25,70x94,Drawing is a visual art form that involves using lines and other marks to create images on paper or other surfaces. It is a way to express ideas; emotions; and observations using visual language.,45,N,Damian Desmond_ Drawing
Loid Forger,Digital Arts, Digital Painting,2018-12-16,60x83,Digital art is a form of art that is created using digital technology such as computers; tablets; and software. It encompasses a wide range of styles and techniques; from digital painting and drawing to 3D modeling and animation,50,Y,Loid Forger_Digital Arts
Conny Springer,Photography,Digital,2022-01-20,70x95,Landscapes: Landscape photography can showcase the beauty of the natural world and the skill of the photographer in capturing the perfect moment and lighting.,70,Y,Conny Springer_Photography
Jean Kirsctein,Photography,Digital,2017-04-10,60x84,Landscapes: Landscape photography can showcase the beauty of the natural world and the skill of the photographer in capturing the perfect moment and lighting.,75,N,Jean Kirsctein_Photography
Levi Ackerman,Photography,Digital,2019-03-20,70x96,Street photography: This genre of photography captures candid moments of people in public places and can showcase the diversity of human experience and the photographer's ability to capture the mood and atmosphere of a scene,40,Y,Levi Ackerman_Photography
Hange Zoe,Photography,Digital,2019-05-25,60x85,Wildlife photography: Wildlife photography can showcase the beauty and diversity of the animal kingdom and the photographer's skill in capturing animals in their natural habitat,40,Y,Hange Zoe_Photography
Mobita Berner,Ceramics,Porcelain,2021-03-15,70x97,Ceramics is the art and science of creating objects from clay and other materials that are fired at high temperatures to achieve a hardened; durable form. It is one of the oldest and most widespread forms of artistic expression; with evidence of ceramic objects dating back thousands of years.,40,Y,Mobita Berner_Ceramics
Michel Zachraius,Ceramics,Porcelain,2021-04-28,60x86,Ceramics is the art and science of creating objects from clay and other materials that are fired at high temperatures to achieve a hardened; durable form. It is one of the oldest and most widespread forms of artistic expression; with evidence of ceramic objects dating back thousands of years.,100,N,Michel Zachraius_Ceramics
